日期,最高气温,最低气温,天气,月份
2022-03-11,26,15,晴,3
2022-03-12,27,19,多云,3
2022-03-13,29,18,多云,3
2022-03-14,27,19,多云,3
2022-03-15,30,17,多云,3
2022-03-16,27,14,多云,3
2022-03-17,14,8,阴,3
2022-03-18,15,8,晴,3
2022-03-19,23,9,阴,3
2022-03-20,8,6,小雨,3
2022-03-21,8,5,多云,3
2022-03-22,9,6,多云,3
2022-03-23,17,6,多云,3
2022-03-24,16,10,小雨,3
2022-03-25,16,12,多云,3
2022-03-26,13,10,多云,3
2022-03-27,14,8,多云,3
2022-03-28,22,10,晴,3
2022-03-29,23,12,小雨,3
2022-03-30,19,15,小雨到大雨,3
2022-03-31,9,6,小雨,3
2022-04-01,13,7,小雨,4
2022-04-02,18,8,多云,4
2022-04-03,22,10,多云,4
2022-04-04,22,13,多云,4
2022-04-05,24,12,多云,4
2022-04-06,26,12,多云,4
2022-04-07,29,13,晴,4
2022-04-08,31,13,多云,4
2022-04-09,31,14,多云,4
2022-04-10,31,16,晴,4
2022-04-11,32,22,晴,4
2022-04-12,31,14,小雨到大雨,4
2022-04-13,17,12,多云,4
2022-04-14,19,13,小雨,4
2022-04-15,12,10,小雨到中雨,4
2022-04-16,11,10,多云,4
2022-04-17,13,11,多云,4
2022-04-18,18,10,多云,4
2022-04-19,24,11,晴,4
2022-04-20,24,13,晴,4
2022-04-21,28,19,阴,4
2022-04-22,26,19,小雨到中雨,4
2022-04-23,28,18,晴,4
2022-04-24,28,21,多云,4
2022-04-25,32,20,中雨到大雨,4
2022-04-26,30,22,多云,4
2022-04-27,28,23,小雨,4
2022-04-28,24,12,多云,4
2022-04-29,17,11,小雨,4
2022-04-30,16,13,多云,4
2022-05-01,18,12,多云,5
2022-05-02,24,11,多云,5
2022-05-03,27,14,多云,5
2022-05-04,29,14,多云,5
2022-05-05,30,15,多云,5
2022-05-06,32,20,多云,5
2022-05-07,26,20,小雨,5
2022-05-08,25,20,多云,5
2022-05-09,12,5,多云,5
2022-05-10,17,13,多云,5
2022-05-11,24,16,小雨,5
2022-05-12,22,17,小雨,5
2022-05-13,22,17,多云,5
2022-05-14,20,14,小雨,5
2022-05-15,15,12,多云,5
2022-05-16,24,13,多云,5
2022-05-17,27,16,多云,5
2022-05-18,26,19,小雨,5
2022-05-19,21,16,小雨,5
2022-05-20,23,14,多云,5
2022-05-21,24,15,多云,5
2022-05-22,25,19,小雨,5
2022-05-23,25,19,多云,5
2022-05-24,26,19,多云,5
2022-05-25,30,22,小雨,5
2022-05-26,23,19,多云,5
2022-05-27,24,19,多云,5
2022-05-28,27,21,多云,5
2022-05-29,26,21,小雨到大雨,5
2022-05-30,25,21,阴,5
2022-05-31,27,23,多云,5
2022-06-01,28,23,多云,6
2022-06-02,27,23,多云,6
2022-06-03,30,24,多云,6
2022-06-04,29,24,阴,6
2022-06-05,30,23,阴,6
2022-06-06,31,22,多云,6
2022-06-07,34,22,多云,6
2022-06-08,34,23,多云,6
2022-06-09,35,22,多云,6
2022-06-10,32,23,小雨到中雨,6
2022-06-11,27,22,多云,6
2022-06-12,27,20,阴,6
2022-06-13,26,20,阴,6
2022-06-14,32,20,多云,6
2022-06-15,34,22,多云,6
2022-06-16,31,23,多云,6
2022-06-17,27,22,多云,6
2022-06-18,26,23,多云,6
2022-06-19,27,24,多云,6
2022-06-20,31,23,小雨到中雨,6
2022-06-21,33,24,多云,6
2022-06-22,32,25,多云,6
2022-06-23,26,21,阴到小雨,6
2022-06-24,39,26,晴,6
2022-06-25,35,26,晴,6
2022-06-26,25,21,多云,6
2022-06-27,34,27,多云,6
2022-06-28,30,24,多云,6
2022-06-29,32,25,阴,6
2022-06-30,32,24,多云,6
2022-07-01,35,25,多云,7
2022-07-02,35,26,多云,7
2022-07-03,30,24,多云,7
2022-07-04,28,24,中雨,7
2022-07-05,26,18,多云,7
2022-07-06,35,24,多云,7
2022-07-07,34,25,阴,7
2022-07-08,33,25,多云,7
2022-07-09,36,27,晴,7
2022-07-10,36,27,晴,7
2022-07-11,37,27,多云,7
2022-07-12,36,27,多云,7
2022-07-13,36,27,晴,7
2022-07-14,37,28,多云,7
2022-07-15,37,26,多云,7
2022-07-16,37,28,多云,7
2022-07-17,32,25,中雨,7
2022-07-18,30,25,多云,7
2022-07-19,31,26,多云,7
2022-07-20,35,28,多云,7
2022-07-21,35,26,多云,7
2022-07-22,35,26,多云,7
2022-07-23,37,26,多云,7
2022-07-24,28,20,多云,7
2022-07-25,37,27,晴,7
2022-07-26,38,27,多云,7
2022-07-27,38,26,多云,7
2022-07-28,36,25,多云,7
2022-07-29,32,24,多云,7
2022-07-30,33,24,晴,7
2022-07-31,33,25,晴,7
2022-08-01,37,27,多云,8
2022-08-02,39,28,晴,8
2022-08-03,39,27,多云,8
2022-08-04,38,27,多云,8
2022-08-05,36,28,多云,8
2022-08-06,36,28,晴,8
2022-08-07,37,29,多云,8
2022-08-08,38,28,晴,8
2022-08-09,38,28,多云,8
2022-08-10,37,28,多云,8
2022-08-11,37,27,多云,8
2022-08-12,37,28,晴,8
2022-08-13,37,28,多云,8
2022-08-14,37,28,多云,8
2022-08-15,39,28,多云,8
2022-08-16,39,30,多云,8
2022-08-17,39,30,多云,8
2022-08-18,40,29,晴,8
2022-08-19,39,31,多云,8
2022-08-20,39,30,多云,8
2022-08-21,37,29,多云,8
2022-08-22,38,28,多云,8
2022-08-23,40,29,多云,8
2022-08-24,35,27,多云,8
2022-08-25,38,28,多云,8
2022-08-26,37,28,多云,8
2022-08-27,38,29,多云,8
2022-08-28,35,26,多云,8
2022-08-29,29,24,多云,8
2022-08-30,23,21,多云,8
2022-08-31,27,22,多云,8
2022-09-01,29,22,多云,9
2022-09-02,31,22,多云,9
2022-09-03,32,22,多云,9
2022-09-04,32,23,多云,9
2022-09-05,35,22,晴,9
2022-09-06,38,22,晴,9
2022-09-07,35,26,多云,9
2022-09-08,37,25,多云,9
2022-09-09,35,24,多云,9
2022-09-10,35,24,多云,9
2022-09-11,36,23,多云,9
2022-09-12,36,23,多云,9
2022-09-13,34,23,晴,9
2022-09-14,32,22,晴,9
2022-09-15,33,22,晴,9
2022-09-16,35,22,晴,9
2022-09-17,36,24,晴,9
2022-09-18,37,23,多云,9
2022-09-19,35,26,多云,9
2022-09-20,32,22,多云,9
2022-09-21,26,19,多云,9
2022-09-22,22,18,多云,9
2022-09-23,27,18,多云,9
2022-09-24,29,18,多云,9
2022-09-25,28,20,多云,9
2022-09-26,31,22,多云,9
2022-09-27,33,23,晴,9
2022-09-28,30,21,多云,9
2022-09-29,34,22,晴,9
2022-09-30,37,25,晴,9
2022-10-01,37,28,晴,10
2022-10-02,37,28,晴,10
2022-10-03,38,24,晴,10
2022-10-04,26,15,多云,10
2022-10-05,14,12,多云,10
2022-10-06,13,12,多云,10
2022-10-07,13,11,小雨,10
2022-10-08,14,13,阴,10
2022-10-09,20,12,小雨,10
2022-10-10,21,10,多云,10
2022-10-11,24,10,多云,10
2022-10-12,25,12,晴,10
2022-10-13,26,11,晴,10
2022-10-14,26,14,晴,10
2022-10-15,27,15,晴,10
2022-10-16,29,16,晴,10
2022-10-17,27,15,多云,10
2022-10-18,26,10,晴,10
2022-10-19,27,13,晴,10
2022-10-20,28,15,多云,10
2022-10-21,28,18,多云,10
2022-10-22,29,17,晴,10
2022-10-23,29,17,晴,10
2022-10-24,28,16,多云,10
2022-10-25,28,17,多云,10
2022-10-26,27,16,阴,10
2022-10-27,15,13,小雨,10
2022-10-28,18,15,多云,10
2022-10-29,20,16,多云,10
2022-10-30,20,15,多云,10
2022-10-31,24,13,晴,10
2022-11-01,25,12,晴,11
2022-11-02,26,13,多云,11
2022-11-03,25,15,多云,11
2022-11-04,21,11,多云,11
2022-11-05,22,13,多云,11
2022-11-06,24,13,晴,11
2022-11-07,27,13,晴,11
2022-11-08,28,15,多云,11
2022-11-09,30,17,晴,11
2022-11-10,30,20,晴,11
2022-11-11,33,20,多云,11
2022-11-12,26,13,多云,11
2022-11-13,14,11,多云,11
2022-11-14,10,9,小雨,11
2022-11-15,16,11,多云,11
2022-11-16,14,11,中雨,11
2022-11-17,19,14,多云,11
2022-11-18,15,13,中雨,11
2022-11-19,18,12,多云,11
2022-11-20,22,15,晴,11
2022-11-21,24,14,多云,11
2022-11-22,16,13,多云,11
2022-11-23,16,14,多云,11
2022-11-24,18,14,多云,11
2022-11-25,21,11,多云,11
2022-11-26,19,16,多云,11
2022-11-27,21,19,阴,11
2022-11-28,25,9,多云,11
2022-11-29,11,3,小雨,11
2022-11-30,3,0,多云,11
2022-12-01,1,0,小雪,12
2022-12-02,5,3,多云,12
2022-12-03,6,4,阴,12
2022-12-04,6,4,多云,12
2022-12-05,5,4,多云,12
2022-12-06,7,6,多云,12
2022-12-07,10,5,多云,12
2022-12-08,14,5,多云,12
2022-12-09,15,6,晴,12
2022-12-10,15,4,晴,12
2022-12-11,9,2,多云,12
2022-12-12,12,1,晴,12
2022-12-13,14,1,晴,12
2022-12-14,16,2,晴,12
2022-12-15,14,6,晴,12
2022-12-16,7,3,多云,12
2022-12-17,10,-3,多云,12
2022-12-18,12,-1,晴,12
2022-12-19,16,3,晴,12
2022-12-20,12,1,多云,12
2022-12-21,17,2,晴,12
2022-12-22,16,3,晴,12
2022-12-23,16,2,多云,12
2022-12-24,17,4,晴,12
2022-12-25,13,5,晴,12
2022-12-26,7,3,多云,12
2022-12-27,6,1,阴,12
2022-12-28,3,2,雨夹雪,12
2022-12-29,5,1,阴,12
2022-12-30,10,1,晴,12
2022-12-31,10,-1,多云,12
